BPM,PER,Pos,Pts,Team,WS
6.6,21.3,1,20.2,0,13.1
5.1,20.9,1,20.2,0,11.7
6.4,25.2,1,23,0,10.6
5.7,22.8,1,21.6,0,8.8
3.4,18.9,1,22.1,0,9.6
7.4,24.5,1,23.1,0,12.3
4.5,21.4,1,25.7,0,12.2
5.8,23.3,2,14,0,14.3
2.6,23.6,2,26.9,0,5.7
4.7,25.2,2,24.1,0,6
1.9,21.3,2,18.3,0,8
6.1,19.5,2,14.1,0,11.5
1.8,22.9,2,18.7,0,8
0.7,22.7,2,25.3,0,8
0.3,22.6,1,23.1,0,10.7
3,22.7,2,19.7,0,10.6
3.9,27.6,2,25.2,0,14.6
2.3,26.5,2,25,0,7.4
5.8,17.5,2,7.3,0,10.1
3.4,26.6,2,26,0,14.6
5.1,17.3,2,9.5,0,10.2
5.1,17.2,2,6.9,0,10.6
4.7,24.1,2,23.4,0,13.4
1.4,17.5,2,10,0,8.1
4.6,25.8,2,21.7,0,12.9
6.3,30.6,2,26.3,0,9
7.8,27.8,2,21.6,0,13.8
1.7,21.3,2,22.4,0,9.8
4.6,25.5,2,26.9,0,9.7
5.4,28.6,2,29.3,0,14
10.9,30.7,2,29.8,0,20
2.2,20.8,2,24.2,0,10.6
4,22.8,2,24,0,13
3.9,23.7,2,26.6,0,10
